Country,Year,manuf_pib,ind_pib,manuf_exp,hitech_exp_wdi,pesq_pm,rd_pct_wdi,deflator,artigos_se_nsf
Luxembourg,2020,4.92605331588321,11.342759831856,81.7615096666126,5.61923854995663,4920.65038,1.09627,100,962.87
Luxembourg,2021,4.64520710910134,10.5920099479324,82.0048064914848,6.0752020682151,4939.08633,1.03153,105.902131260212,1048.94
Malaysia,2013,22.8407424205833,39.8853736547897,60.6315003418679,48.4707442408569,,,96.4175317512833,14205.2
Malaysia,2014,22.8739302431305,39.9244244845871,61.5701463861358,49.2192547300414,2015.97275,1.26275,98.7966023208747,15764.08
Malaysia,2015,22.2933324025137,38.4497222119902,66.414936202965,48.4853806485296,2256.60241,1.27945,100,17240.13
Malaysia,2016,21.7969397965457,37.6832749440922,68.0179738974581,49.058669616671,2334.07987,1.41517,101.658259966424,17827.44
Malaysia,2017,21.8461950799461,38.114672270307,66.5950762518143,51.124071112731,,,105.499885905954,18867.8
Malaysia,2018,21.5281381981616,38.2914253580498,68.4240772452125,53.1812872322082,2110.44315,1.04026,106.158916974927,17628.87
Malaysia,2019,21.4089748962529,37.4765336887335,70.1215212704831,51.5927774360365,,,106.235167643949,18671.39
Malaysia,2020,22.2320858423886,35.9347266201835,73.1260443884642,53.8128736631656,711.51035,0.95055,105.366155761511,18858.11
Malaysia,2021,23.363165635524,37.6826861838931,70.2832707695381,51.6786836379514,,,111.346673949326,22347.89
Mexico,2013,18.1028096283966,32.1682751220869,75.0893659325092,20.5109447612712,254.46546,0.40806,78.0479123947407,12677.19
Mexico,2014,18.2289217370442,31.9175541245121,76.7092825210337,20.2220997751974,262.92059,0.41962,81.457333128084,13541.76
Mexico,2015,19.8234213947421,30.8402536108172,80.8520050396853,19.5727021142392,284.58114,0.41477,84.0846815010146,13741.34
Mexico,2016,19.8687757882998,30.6167913885108,80.9065097304957,20.6541116351274,319.5511,0.37601,89.1950018810292,14497.26
Mexico,2017,20.1618224119644,31.958684665724,80.3561587936184,21.1680967750153,330.64996,0.31955,95.0529682854956,15397.11
Mexico,2018,20.1893656987831,32.043865451756,79.471846811433,20.8917456407643,342.55971,0.29816,99.9999999958638,16402.64
Mexico,2019,19.8877542722301,31.8382961469653,79.9687313715216,20.4068584131191,355.30353,0.27629,104.319010231962,18006.46
Mexico,2020,20.1842735695707,30.9999803863186,79.1798885226162,21.5074249745377,369.04189,0.29185,109.138329565566,19332.61
Mexico,2021,20.8358358617373,31.9695289911386,76.5435901540485,19.8113406398377,384.76538,0.27305,114.03642804829,20345.96
Netherlands,2013,9.64816464758619,18.6870743291059,57.0553879762956,24.6659051147577,4887.39056,2.13953,89.5527258807015,31332.15
Netherlands,2014,9.66230344504418,17.6818782630222,59.7669070123292,24.5559687632591,4926.09272,2.15067,89.8609024067872,31445.39
Netherlands,2015,10.1488182500805,17.4148103121536,62.3742687119885,24.074012919385,4891.78146,2.11792,90.6592253527817,31291.69
Netherlands,2016,10.2669490054501,16.9640712326865,63.2188083560819,24.0087404866077,5109.20509,2.11546,91.1719474622063,31097.01
Netherlands,2017,10.5500219081827,17.1210117451832,64.2889997092393,22.9219025245367,5273.17623,2.14167,92.4842440337602,31234.91
Netherlands,2018,10.6594535821754,17.3241048530815,64.6904223550073,22.5132061163246,5496.79039,2.1027,94.8272507009577,31506.82
Netherlands,2019,10.420756670246,17.1127557495056,65.4873395923694,23.0482346929973,5592.12175,2.14036,97.698442691884,31471.58
Netherlands,2020,10.4840023369093,17.3794770859182,68.3026706407585,23.1639760853804,5799.27532,2.26514,100,32236.56
Netherlands,2021,10.7549772867478,17.7061297739891,66.1412554396012,22.0023211908273,6003.86605,2.21542,102.747338205767,34144.24
