modelo,Country_Year,Country,Year,zero_inv,esc_contemp,esc_seq,esc_uniao,esc_global,tgr,tgr_uniao,convexificacao
C,Mexico-2014,Mexico,2014,FALSE,0.6179,0.3911,0.4738,0.3911,0.633,0.7669,1.2115
C,Mexico-2015,Mexico,2015,FALSE,1,0.6465,0.5817,0.4475,0.4475,0.5817,1.2998
C,Mexico-2016,Mexico,2016,FALSE,1,0.9003,0.7069,0.5452,0.5452,0.7069,1.2966
C,Mexico-2017,Mexico,2017,FALSE,0.7192,0.5924,0.3906,0.3129,0.435,0.5431,1.2485
C,Mexico-2018,Mexico,2018,FALSE,1,1,1,1,1,1,1
C,Mexico-2019,Mexico,2019,FALSE,0.2346,0.2297,0.1679,0.1534,0.6541,0.7156,1.0941
C,Mexico-2020,Mexico,2020,FALSE,0.415,0.3592,0.415,0.3592,0.8654,1,1.1555
C,Mexico-2021,Mexico,2021,FALSE,0.0114,0.0112,0.0114,0.0112,0.9865,1,1.0137
C,Netherlands-2013,Netherlands,2013,FALSE,0.0168,0.0168,0.0168,0.0137,0.8143,1,1.2281
C,Netherlands-2014,Netherlands,2014,FALSE,0.0104,0.0071,0.0053,0.0038,0.3606,0.5127,1.422
C,Netherlands-2015,Netherlands,2015,FALSE,0.0213,0.0199,0.0032,0.003,0.1388,0.1519,1.0942
C,Netherlands-2016,Netherlands,2016,FALSE,0.012,0.0116,0.0033,0.0032,0.2655,0.2787,1.0498
C,Netherlands-2017,Netherlands,2017,FALSE,0.0063,0.0061,0.0027,0.0026,0.4144,0.4379,1.0567
C,Norway-2013,Norway,2013,FALSE,0.0326,0.0326,0.0253,0.0185,0.5672,0.7745,1.3655
C,Norway-2014,Norway,2014,FALSE,0.0383,0.0382,0.0083,0.0054,0.1423,0.2173,1.5271
C,Norway-2016,Norway,2016,FALSE,0.0697,0.0456,0.0335,0.0232,0.3324,0.4803,1.4451
